job_item	job_links	job_info	job_salary	job_origin
114	高级数据分析师-平台运营	https://www.hellobi.com/job/78	北京|3-5年经验|本科	20-40K	滴滴出行
115	运营分析专家	https://www.hellobi.com/job/77	长春|3-5年经验|大专	15-20K	滴滴出行
116	数据仓库工程师	https://www.hellobi.com/job/76	上海|3-5年经验|本科	15-25K	坤睿咨询
117	算法专家 /高级算法专家	https://www.hellobi.com/job/74	上海|3-5年经验|本科	20-40K	饿了么
118	高级/资深算法专家	https://www.hellobi.com/job/75	上海|5-10年经验|硕士	30-60K	饿了么
119	高级数据分析师	https://www.hellobi.com/job/73	苏州|3-5年经验|本科	15-30K	同程旅游
120	推荐算法工程师 	https://www.hellobi.com/job/72	上海|3-5年经验|本科	15-30K	Soul
121	数据仓库与数据分析工程师  	https://www.hellobi.com/job/71	上海|3-5年经验|本科	15-30K	Soul
122	铁路行业销售副总监（北京）	https://www.hellobi.com/job/70	北京|10年以上经验|本科	15-25K	永洪科技
123	航空行业销售副总监（北京）	https://www.hellobi.com/job/69	北京|5-10年经验|大专	15-25K	永洪科技
124	华东区渠道销售副总监（上海）	https://www.hellobi.com/job/68	上海|5-10年经验|大专	15-25K	永洪科技
125	前端工程师	https://www.hellobi.com/job/67	深圳|5-10年经验|大专	15-25K	软通动力
126	财经需求分析	https://www.hellobi.com/job/66	深圳|10年以上经验|不限	15-25K	软通动力
127	数据挖掘工程师	https://www.hellobi.com/job/65	深圳|3-5年经验|大专	10-25K	软通动力
128	BI实施顾问/实施工程师	https://www.hellobi.com/job/64	北京|3-5年经验|大专	10-20K	京创曙光
129	实时计算开发工程师	https://www.hellobi.com/job/63	上海|1-3年经验|硕士	15-30K	星环
130	Spark开发工程师	https://www.hellobi.com/job/61	上海|1-3年经验|硕士	15-30K	星环
131	大数据云后端开发工程师	https://www.hellobi.com/job/62	上海|1-3年经验|硕士	15-30K	星环
132	高级推荐算法工程师	https://www.hellobi.com/job/60	成都|5-10年经验|本科	15-30K	多点
133	售前工程师	https://www.hellobi.com/job/59	上海|5-10年经验|大专	10-20K	达观数据
134	爬虫开发工程师	https://www.hellobi.com/job/57	上海|1-3年经验|不限	15-20K	爱客CRM
135	后端开发工程师	https://www.hellobi.com/job/56	上海|不限经验|不限	15-20K	爱客CRM
136	数据分析师	https://www.hellobi.com/job/55	北京|应届生经验|硕士	8-15K	国电通公司
137	大数据高级分析师	https://www.hellobi.com/job/54	北京|3-5年经验|硕士	25-50K	国电通公司
138	系统建设工程师	https://www.hellobi.com/job/53	北京|3-5年经验|本科	20-40K	恒丰银行
139	数据应用	https://www.hellobi.com/job/52	北京|3-5年经验|本科	20-40K	恒丰银行
140	数据挖掘分析师	https://www.hellobi.com/job/51	广州|应届生经验|本科	3-8K	柯内特
141	数据仓库工程师	https://www.hellobi.com/job/50	北京|3-5年经验|本科	15-30K	玖富
142	数据分析师	https://www.hellobi.com/job/49	北京|3-5年经验|本科	15-30K	玖富
143	资深BI开发工程师	https://www.hellobi.com/job/48	北京|3-5年经验|本科	15-30K	玖富
144	高级大数据开发（spark实时流式计算）	https://www.hellobi.com/job/47	北京|3-5年经验|本科	15-30K	玖富
145	高级java开发（大数据）	https://www.hellobi.com/job/46	北京|3-5年经验|不限	15-30K	玖富
146	数据产品经理	https://www.hellobi.com/job/45	北京|3-5年经验|本科	15-30K	玖富
147	售前顾问	https://www.hellobi.com/job/44	上海|5-10年经验|本科	15-25K	美林数据
148	大数据开发经理	https://www.hellobi.com/job/43	上海|5-10年经验|大专	25-35K	贝泰妮
149	数据挖掘工程师	https://www.hellobi.com/job/42	北京|5-10年经验|本科	20-30K	完美世界
150	数据挖掘工程师	https://www.hellobi.com/job/41	北京|3-5年经验|本科	25-50K	京东
151	BI 业务需求规划工程师	https://www.hellobi.com/job/40	上海|1-3年经验|本科	15-20K	上海知名服装零售公司
152	微软BI工程师	https://www.hellobi.com/job/39	上海|3-5年经验|本科	20-30K	彰荣地产
153	数据分析副总监	https://www.hellobi.com/job/37	北京|5-10年经验|本科	30-50K	伊利
154	产品经理	https://www.hellobi.com/job/36	上海|3-5年经验|本科	10-18K	发源地
155	爬虫工程师	https://www.hellobi.com/job/35	上海|1-3年经验|本科	8-15K	发源地
156	大数据	https://www.hellobi.com/job/34	上海|1-3年经验|本科	12-25K	发源地
157	JAVA高级开发工程师	https://www.hellobi.com/job/33	上海|3-5年经验|本科	12-15K	Smartbi
158	JAVA开发工程师	https://www.hellobi.com/job/32	北京|3-5年经验|本科	10-15K	Smartbi
159	BI实施顾问	https://www.hellobi.com/job/31	北京|1-3年经验|大专	8-10K	Smartbi
160	BI售前工程师	https://www.hellobi.com/job/30	北京|1-3年经验|本科	10-15K	Smartbi
161	数据挖掘工程师	https://www.hellobi.com/job/27	上海|3-5年经验|硕士	15-30K	达观数据
162	自然语言处理专家	https://www.hellobi.com/job/26	上海|3-5年经验|本科	40-80K	订餐小秘书
163	大数据研发负责人	https://www.hellobi.com/job/25	苏州|5-10年经验|本科	30-50K	同程旅游
164	金融客户部-高级销售经理/区域总监	https://www.hellobi.com/job/24	北京，上海|5-10年经验|本科	15-20K	永洪科技
165	证券保险行业销售副总监	https://www.hellobi.com/job/23	上海|10年以上经验|大专	20-25K	永洪科技
166	银行行业销售副总监	https://www.hellobi.com/job/22	上海，深圳|10年以上经验|大专	20-25K	永洪科技
167	大数据研发工程师	https://www.hellobi.com/job/21	北京|5-10年经验|本科	15-20K	罗格数据
168	Web前端	https://www.hellobi.com/job/20	北京|3-5年经验|本科	15-20K	罗格数据
169	产品经理	https://www.hellobi.com/job/19	北京|3-5年经验|大专	12-22K	罗格数据
170	数据编辑	https://www.hellobi.com/job/18	北京|1-3年经验|本科	6-8K	塔塔数据
171	数据分析师	https://www.hellobi.com/job/17	北京|1-3年经验|本科	8-10K	塔塔数据
172	技术总监	https://www.hellobi.com/job/16	北京|5-10年经验|本科	15-20K	塔塔数据
173	大数据工程师	https://www.hellobi.com/job/15	北京|5-10年经验|本科	10-15K	塔塔数据
174	BI售前顾问总监	https://www.hellobi.com/job/14	北京|5-10年经验|本科	12-22K	马达数据
175	项目经理	https://www.hellobi.com/job/13	北京|3-5年经验|本科	15-25K	ETHINKBI
176	售后	https://www.hellobi.com/job/12	北京|1-3年经验|本科	10-20K	ETHINKBI
177	售前工程师	https://www.hellobi.com/job/11	北京|1-3年经验|本科	10-20K	ETHINKBI
178	BI项目经理	https://www.hellobi.com/job/10	北京|5-10年经验|本科	15-25K	iReadyIT
179	技术总监	https://www.hellobi.com/job/9	北京|3-5年经验|本科	25-30K	iReadyIT
180	测试	https://www.hellobi.com/job/7	广州|3-5年经验|本科	12-25K	卓越教育
181	高级运营经理	https://www.hellobi.com/job/6	广州|3-5年经验|本科	12-25K	卓越教育
182	在线课堂产品策划	https://www.hellobi.com/job/8	广州|3-5年经验|硕士	15-30K	卓越教育
183	Java全栈开发工程师	https://www.hellobi.com/job/5	广州|3-5年经验|本科	15-30K	卓越教育
184	在线围棋产品经理	https://www.hellobi.com/job/4	广州|3-5年经验|本科	20-40K	卓越教育
185	数据科学家	https://www.hellobi.com/job/3	广州|3-5年经验|硕士	30-50K	卓越教育
186	 高级自动化测试工程师	https://www.hellobi.com/job/2	北京|3-5年经验|本科	15-20K	铂金智慧
187	 Python开发工程师	https://www.hellobi.com/job/1	北京|1-3年经验|本科	15-20K	铂金智慧
